Accuracy,Classification Report
0.8212290502793296,"{'precision': 0.8288288288288288, 'recall': 0.8761904761904762, 'f1-score': 0.8518518518518519, 'support': 105.0}"
0.8212290502793296,"{'precision': 0.8088235294117647, 'recall': 0.7432432432432432, 'f1-score': 0.7746478873239436, 'support': 74.0}"
0.8212290502793296,0.8212290502793296
0.8212290502793296,"{'precision': 0.8188261791202968, 'recall': 0.8097168597168597, 'f1-score': 0.8132498695878978, 'support': 179.0}"
0.8212290502793296,"{'precision': 0.8205584815837855, 'recall': 0.8212290502793296, 'f1-score': 0.8199351290861244, 'support': 179.0}"
